alpha	values
0.0433	0
0.0446	0.0202020202020202
0.0469	0.0404040404040404
0.0468	0.0606060606060606
0.0481	0.0808080808080808
0.0476	0.101010101010101
0.0448	0.121212121212121
0.0509	0.141414141414141
0.0457	0.161616161616162
0.0463	0.181818181818182
0.0484	0.202020202020202
0.0496	0.222222222222222
0.0498	0.242424242424242
0.0487	0.262626262626263
0.0505	0.282828282828283
0.0505	0.303030303030303
0.051	0.323232323232323
0.0507	0.343434343434343
0.0484	0.363636363636364
0.0494	0.383838383838384
0.0502	0.404040404040404
0.0528	0.424242424242424
0.0487	0.444444444444444
0.0496	0.464646464646465
0.0542	0.484848484848485
0.0521	0.505050505050505
0.0522	0.525252525252525
0.0597	0.545454545454546
0.0512	0.565656565656566
0.0535	0.585858585858586
0.0508	0.606060606060606
0.0519	0.626262626262626
0.0517	0.646464646464647
0.0542	0.666666666666667
0.0491	0.686868686868687
0.0553	0.707070707070707
0.0511	0.727272727272727
0.053	0.747474747474748
0.0538	0.767676767676768
0.0546	0.787878787878788
0.0522	0.808080808080808
0.0519	0.828282828282828
0.0517	0.848484848484849
0.057	0.868686868686869
0.0552	0.888888888888889
0.0605	0.909090909090909
0.0576	0.929292929292929
0.0605	0.94949494949495
0.0651	0.96969696969697
0.0667	0.98989898989899
0.0665	1.01010101010101
0.0782	1.03030303030303
0.0807	1.05050505050505
0.0821	1.07070707070707
0.0879	1.09090909090909
0.0901	1.11111111111111
0.0884	1.13131313131313
0.1001	1.15151515151515
0.0967	1.17171717171717
0.105	1.19191919191919
0.1122	1.21212121212121
0.116	1.23232323232323
0.1197	1.25252525252525
0.1227	1.27272727272727
0.1266	1.29292929292929
0.1363	1.31313131313131
0.1456	1.33333333333333
0.1522	1.35353535353535
0.1545	1.37373737373737
0.1593	1.39393939393939
0.1652	1.41414141414141
0.1713	1.43434343434343
0.1747	1.45454545454545
0.1812	1.47474747474747
0.181	1.4949494949495
0.1941	1.51515151515152
0.1999	1.53535353535354
0.2109	1.55555555555556
0.2125	1.57575757575758
0.2178	1.5959595959596
0.2262	1.61616161616162
0.2325	1.63636363636364
0.2354	1.65656565656566
0.2393	1.67676767676768
0.2504	1.6969696969697
0.2501	1.71717171717172
0.2593	1.73737373737374
0.2587	1.75757575757576
0.2787	1.77777777777778
0.2825	1.7979797979798
0.2846	1.81818181818182
0.2944	1.83838383838384
0.2932	1.85858585858586
0.3005	1.87878787878788
0.3167	1.8989898989899
0.3177	1.91919191919192
0.3371	1.93939393939394
0.3186	1.95959595959596
0.3381	1.97979797979798
0.3437	2
