state	year	temp	temp_avg
Arizona	2007	15.3492782757213	12.9361650985509
Arizona	2008	14.7782311626842	12.2850049381875
Arizona	2009	15.1300372295044	12.6897154540808
Arizona	2010	14.5593909784703	12.0419852539596
Arizona	2011	14.6333549570508	12.3658474981227
Arizona	2012	15.5128515043193	13.2382427973741
Arizona	2013	14.5299197748907	12.523427563014
Arizona	2014	15.5169165725495	13.5482852160434
Arizona	2015	15.2561535728035	13.1289110131016
Arizona	2016	15.311642350603	13.3908882858731
Arizona	2017	15.9389679286231	14.1296128153577
Arizona	2018	15.5367842141843	13.6292227204783
Arizona	2019	14.4525123175252	12.5287707061901
California	2007	14.272860931304	12.7701962834022
California	2008	14.4457245114624	13.0534227641507
California	2009	14.4021508937752	12.9482248824843
California	2010	13.7258482644987	12.1664000671943
California	2011	13.6348992033696	12.0432038150061
California	2012	14.6692122190427	13.1269522882181
California	2013	14.6585257298305	13.2131937077007
California	2014	15.8359385579082	14.4076211619969
California	2015	15.4991849278461	14.0078571803807
California	2016	15.0421655050555	13.6245730145175
California	2017	15.2044806226019	13.7616474522573
California	2018	15.0269864350589	13.6102941561673
California	2019	14.2016243366753	12.6736468477027
Colorado	2007	6.65325729646058	4.60198968575456
Colorado	2008	5.73502322489577	3.44192120485328
Colorado	2009	5.90233778144247	3.7212394748109
Colorado	2010	6.43835732989699	4.17610138167738
Colorado	2011	6.10146605322059	3.77100998929092
Colorado	2012	7.56354541385541	5.2533096926714
Colorado	2013	5.85322867076313	3.83761124525698
Colorado	2014	6.50320727962276	4.45601376924526
Colorado	2015	7.13596923461731	4.94204765957446
Colorado	2016	7.0071057643101	4.86267152439648
Colorado	2017	7.49948768604865	5.37205930020302
Colorado	2018	7.09399980024304	5.05629889123188
Colorado	2019	6.02999197874367	3.96993553228502
Connecticut	2007	9.97255206025698	NA
Connecticut	2008	9.88796588755527	NA
Connecticut	2009	9.50355824102048	NA
Connecticut	2010	10.9916722129784	NA
Connecticut	2011	10.5901389756402	NA
Connecticut	2012	11.2202188848059	NA
Connecticut	2013	10.4013261439813	14.5130909090909
Connecticut	2014	9.4150394991802	10.7293150684932
Connecticut	2015	10.0581395348837	11.379012345679
Connecticut	2016	11.2308216321424	12.2129120879121
Connecticut	2017	10.7827169863392	11.7583561643836
Connecticut	2018	10.6380220869319	11.4435616438356
Connecticut	2019	10.2893506678034	11.3941095890411
Delaware	2007	13.7745739417262	NA
Delaware	2008	13.7912876712329	NA
Delaware	2009	13.6302752293578	NA
Delaware	2010	13.8741935483871	NA
Delaware	2011	14.6221824104235	NA
Delaware	2012	14.5723214285714	NA
Delaware	2013	13.1992361111111	17.9290983606557
Delaware	2014	12.5591223220456	16.2261818181818
Delaware	2015	13.7675498967653	17.7872727272727
Delaware	2016	14.1276766969909	15.0528358208955
Delaware	2017	14.1031936813187	16.1864686468647
Delaware	2018	14.0691114245416	16.6907749077491
Delaware	2019	13.5002769230769	15.5028455284553
Florida	2007	22.8077543887209	21.6783783783784
Florida	2008	22.1933832495046	21.061214223764
Florida	2009	22.4315159446508	21.3336068435754
Florida	2010	21.3635683719496	20.3585290055248
Florida	2011	22.7538946985367	21.3888050535182
Florida	2012	22.8055375784892	21.7192136498516
Florida	2013	22.7393880909928	22.6732511292882
Florida	2014	22.3243110803643	21.6987866108786
Florida	2015	23.7829287460706	23.111432096227
