state	year	temp	temp_avg
AZ	2007	15.3492782757213	12.9361650985509
AZ	2008	14.7782311626842	12.2850049381875
AZ	2009	15.1300372295044	12.6897154540808
AZ	2010	14.5593909784703	12.0419852539596
AZ	2011	14.6333549570508	12.3658474981227
AZ	2012	15.5128515043193	13.2382427973741
AZ	2013	14.5299197748907	12.523427563014
AZ	2014	15.5169165725495	13.5482852160434
AZ	2015	15.2561535728035	13.1289110131016
AZ	2016	15.311642350603	13.3908882858731
AZ	2017	15.9389679286231	14.1296128153577
AZ	2018	15.5367842141843	13.6292227204783
AZ	2019	14.4525123175252	12.5287707061901
CA	2007	14.272860931304	12.7701962834022
CA	2008	14.4457245114624	13.0534227641507
CA	2009	14.4021508937752	12.9482248824843
CA	2010	13.7258482644987	12.1664000671943
CA	2011	13.6348992033696	12.0432038150061
CA	2012	14.6692122190427	13.1269522882181
CA	2013	14.6585257298305	13.2131937077007
CA	2014	15.8359385579082	14.4076211619969
CA	2015	15.4991849278461	14.0078571803807
CA	2016	15.0421655050555	13.6245730145175
CA	2017	15.2044806226019	13.7616474522573
CA	2018	15.0269864350589	13.6102941561673
CA	2019	14.2016243366753	12.6736468477027
CO	2007	6.65325729646058	4.60198968575456
CO	2008	5.73502322489577	3.44192120485328
CO	2009	5.90233778144247	3.7212394748109
CO	2010	6.43835732989699	4.17610138167738
CO	2011	6.10146605322059	3.77100998929092
CO	2012	7.56354541385541	5.2533096926714
CO	2013	5.85322867076313	3.83761124525698
CO	2014	6.50320727962276	4.45601376924526
CO	2015	7.13596923461731	4.94204765957446
CO	2016	7.0071057643101	4.86267152439648
CO	2017	7.49948768604865	5.37205930020302
CO	2018	7.09399980024304	5.05629889123188
CO	2019	6.02999197874367	3.96993553228502
CT	2007	9.97255206025698	NA
CT	2008	9.88796588755527	NA
CT	2009	9.50355824102048	NA
CT	2010	10.9916722129784	NA
CT	2011	10.5901389756402	NA
CT	2012	11.2202188848059	NA
CT	2013	10.4013261439813	14.5130909090909
CT	2014	9.4150394991802	10.7293150684932
CT	2015	10.0581395348837	11.379012345679
CT	2016	11.2308216321424	12.2129120879121
CT	2017	10.7827169863392	11.7583561643836
CT	2018	10.6380220869319	11.4435616438356
CT	2019	10.2893506678034	11.3941095890411
DE	2007	13.7745739417262	NA
DE	2008	13.7912876712329	NA
DE	2009	13.6302752293578	NA
DE	2010	13.8741935483871	NA
DE	2011	14.6221824104235	NA
DE	2012	14.5723214285714	NA
DE	2013	13.1992361111111	17.9290983606557
DE	2014	12.5591223220456	16.2261818181818
DE	2015	13.7675498967653	17.7872727272727
DE	2016	14.1276766969909	15.0528358208955
DE	2017	14.1031936813187	16.1864686468647
DE	2018	14.0691114245416	16.6907749077491
DE	2019	13.5002769230769	15.5028455284553
FL	2007	22.8077543887209	21.6783783783784
FL	2008	22.1933832495046	21.061214223764
FL	2009	22.4315159446508	21.3336068435754
FL	2010	21.3635683719496	20.3585290055248
FL	2011	22.7538946985367	21.3888050535182
FL	2012	22.8055375784892	21.7192136498516
FL	2013	22.7393880909928	22.6732511292882
FL	2014	22.3243110803643	21.6987866108786
FL	2015	23.7829287460706	23.111432096227
FL	2016	23.2299551855357	22.6091737724198
FL	2017	23.3647108843537	22.7003721476838
FL	2018	23.2033627696317	22.4189616252822
FL	2019	23.7042596810934	22.9072847031066
GA	2007	17.8048931719707	17.547643736691
GA	2008	17.0381360619469	17.0163542157325
GA	2009	16.9609030373543	16.8569336299592
GA	2010	16.8506416888363	16.5624423963134
GA	2011	17.7019245933958	17.6259650735294
GA	2012	18.2526937478445	17.9357860142414
GA	2013	17.0247023413153	17.1221470019342
GA	2014	16.7697807700868	16.6503355192924
GA	2015	18.6246435982429	18.0040012194193
GA	2016	18.3507047366313	18.2977801757361
GA	2017	18.298319036049	18.3174717211862
GA	2018	17.7614305421796	17.8607738646895
GA	2019	18.3764818006162	18.4861339421613
IL	2007	11.9510102033921	14.8616161616162
IL	2008	10.303486033267	13.4572483841182
IL	2009	10.6653772683859	13.7504578754579
IL	2010	11.5046652055285	14.2772602739726
IL	2011	11.6180929232286	14.4708675799087
IL	2012	13.0073642811375	15.7798724954463
IL	2013	10.4531794444695	13.7471019809244
IL	2014	9.53671067081541	10.7699692307692
IL	2015	11.3002480907303	12.458599695586
IL	2016	12.3270177636074	13.2993894993895
IL	2017	12.1004117350216	12.9380789022298
IL	2018	11.0900514226945	12.0917201344332
IL	2019	10.8648469992333	11.9547274407145
IN	2007	11.9340233844523	13.5139705882353
IN	2008	10.6313409039144	11.6542938254081
IN	2009	10.6640862652344	11.7866333095068
IN	2010	11.587802108678	12.3154794520548
IN	2011	11.8127396442265	12.4349315068493
IN	2012	12.8957363853603	13.4390548992356
IN	2013	10.7317493422319	12.9366914935319
IN	2014	9.85606929784305	10.7497648902821
IN	2015	11.4242437894195	12.1440830449827
IN	2016	12.2693788035737	12.8484939759036
IN	2017	12.236783298565	12.8727812718379
IN	2018	11.5000507839777	11.9508912967494
IN	2019	11.3951894808258	11.9447602739726
MA	2007	9.50717924047767	NA
MA	2008	9.55107444777748	NA
MA	2009	9.18115025848505	NA
MA	2010	10.6279218952226	NA
MA	2011	10.1074390621772	NA
MA	2012	11.0295793654835	NA
MA	2013	9.68176110260337	13.3381818181818
MA	2014	9.06683935166188	9.44931506849316
MA	2015	9.51773145780051	10.0991769547325
MA	2016	10.4112279779122	10.7315573770492
MA	2017	10.0720651538502	10.2983561643836
MA	2018	10.1233505480607	10.3371232876712
MA	2019	9.50175026123302	10.2083561643836
MN	2007	6.04835068966151	5.34586442459274
MN	2008	4.24252660300136	3.55020632737276
MN	2009	4.44776678629205	3.86482533670034
MN	2010	6.17398237821306	5.55889994761656
MN	2011	5.75290782281536	5.18741826618856
MN	2012	7.44064500725125	6.50476937558832
MN	2013	4.32538185326116	4.71477846593616
MN	2014	3.86800554261103	3.34854835938842
MN	2015	6.63271982735747	6.06277667728878
MN	2016	6.98284532716149	6.35291597446882
MN	2017	5.94943743307999	5.29085219478738
MN	2018	5.00042235217674	4.70366938472942
MN	2019	4.26358772479198	3.95611631606858
MS	2007	18.5464326001128	18.422411631988
MS	2008	17.7781200179863	17.8896448224112
MS	2009	17.7404667267661	17.998294884654
MS	2010	17.6373232529628	17.5580462863294
MS	2011	18.1672835698129	18.4399612295763
